Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR053_02_LQ1.D,FID1A,30.408,3.7968,0.9060,
MBPR053_02_LQ1.D,FID1A,30.514,5.3069,0.8887,
MBPR053_02_LQ1.D,FID1A,30.581,3.7740,0.9278,
MBPR053_02_LQ1.D,FID1A,30.629,1.9663,0.8689,
MBPR053_02_LQ1.D,FID1A,30.683,3.0402,0.9150,
MBPR053_02_LQ1.D,FID1A,30.709,2.4463,0.8996,
MBPR053_02_LQ1.D,FID1A,30.785,5.3001,0.8786,
MBPR053_02_LQ1.D,FID1A,30.870,2.1332,0.8659,
MBPR053_02_LQ1.D,FID1A,30.921,2.9137,0.9273,
MBPR053_02_LQ1.D,FID1A,31.009,5.6481,0.8986,
MBPR053_02_LQ1.D,FID1A,31.075,1.9152,0.8892,
MBPR053_02_LQ1.D,FID1A,31.110,1.6931,0.8374,
MBPR053_02_LQ1.D,FID1A,31.162,4.3661,0.9111,
MBPR053_02_LQ1.D,FID1A,31.260,2.7743,0.7840,
MBPR053_02_LQ1.D,FID1A,31.308,2.1610,0.8548,
MBPR053_02_LQ1.D,FID1A,31.420,8.5542,0.8259,
MBPR053_02_LQ1.D,FID1A,31.540,3.4328,0.8027,
MBPR053_02_LQ1.D,FID1A,31.607,2.9113,0.7679,
MBPR053_02_LQ1.D,FID1A,31.700,5.8625,0.7612,
MBPR053_02_LQ1.D,FID1A,31.839,2.4195,0.6736,
MBPR053_02_LQ1.D,FID1A,31.925,2.0869,0.5729,
MBPR053_02_LQ1.D,FID1A,31.981,1.7245,0.5814,
MBPR053_02_LQ1.D,FID1A,32.066,3.6477,0.6482,
MBPR053_02_LQ1.D,FID1A,32.147,1.4047,0.4947,
MBPR053_02_LQ1.D,FID1A,32.173,0.9775,0.5478,
MBPR053_02_LQ1.D,FID1A,32.200,2.2128,0.5339,
MBPR053_02_LQ1.D,FID1A,32.295,0.8796,0.4758,
MBPR053_02_LQ1.D,FID1A,32.322,0.9082,0.3971,
MBPR053_02_LQ1.D,FID1A,32.348,0.4879,0.4457,
MBPR053_02_LQ1.D,FID1A,32.400,3.2954,0.4688,
MBPR053_02_LQ1.D,FID1A,32.546,2.4739,0.4768,
MBPR053_02_LQ1.D,FID1A,32.623,0.6804,0.2908,
MBPR053_02_LQ1.D,FID1A,32.647,0.5153,0.4019,
MBPR053_02_LQ1.D,FID1A,32.706,1.7533,0.3720,
MBPR053_02_LQ1.D,FID1A,32.788,0.8320,0.2793,
MBPR053_02_LQ1.D,FID1A,32.826,0.5017,0.3186,
MBPR053_02_LQ1.D,FID1A,32.863,0.3629,0.1915,
MBPR053_02_LQ1.D,FID1A,32.902,0.5516,0.2499,
MBPR053_02_LQ1.D,FID1A,32.966,1.2887,0.2710,
MBPR053_02_LQ1.D,FID1A,33.062,0.5050,0.2165,
MBPR053_02_LQ1.D,FID1A,33.098,1.0645,0.2285,
MBPR053_02_LQ1.D,FID1A,33.181,0.2320,0.1565,
MBPR053_02_LQ1.D,FID1A,33.202,0.4646,0.1579,
MBPR053_02_LQ1.D,FID1A,33.272,0.6512,0.1612,
MBPR053_02_LQ1.D,FID1A,33.379,0.4915,0.0928,
MBPR053_02_LQ1.D,FID1A,33.620,0.3366,0.1529,
MBPR053_02_LQ1.D,FID1A,33.765,0.3175,0.0961,
MBPR053_02_LQ1.D,FID1A,33.839,0.2959,0.1433,
MBPR053_02_LQ1.D,FID1A,33.903,0.0589,0.0160,
MBPR053_02_LQ1.D,FID1A,33.986,0.4509,0.1645,
MBPR053_02_LQ1.D,FID1A,34.083,0.1971,0.0217,
MBPR053_02_LQ1.D,FID1A,34.191,0.3162,0.1024,
MBPR053_02_LQ1.D,FID1A,34.240,0.5546,0.1820,
MBPR053_02_LQ1.D,FID1A,34.336,0.2662,0.0380,
MBPR053_02_LQ1.D,FID1A,34.406,0.2792,0.1364,
MBPR053_02_LQ1.D,FID1A,34.455,0.1885,0.0961,
MBPR053_02_LQ1.D,FID1A,34.541,0.2147,0.1022,
MBPR053_02_LQ1.D,FID1A,34.574,0.1590,0.1006,
MBPR053_02_LQ1.D,FID1A,34.635,0.4738,0.0320,
MBPR053_02_LQ1.D,FID1A,34.793,0.7796,0.1823,
MBPR053_02_LQ1.D,FID1A,34.893,0.3880,0.1293,
MBPR053_02_LQ1.D,FID1A,35.100,0.2549,0.1312,
MBPR053_02_LQ1.D,FID1A,35.211,0.3492,0.0946,
MBPR053_02_LQ1.D,FID1A,35.296,0.1446,0.0311,
MBPR053_02_LQ1.D,FID1A,35.320,0.3976,0.1440,
MBPR053_02_LQ1.D,FID1A,35.459,0.3215,0.1591,
MBPR053_02_LQ1.D,FID1A,35.490,0.3673,0.0357,
MBPR053_02_LQ1.D,FID1A,35.559,0.3674,0.1481,
MBPR053_02_LQ1.D,FID1A,35.741,0.6886,0.1509,
MBPR053_02_LQ1.D,FID1A,35.760,0.5027,0.1906,
